medicine id;qty;expiry date(dd.mm.yyyy);store id
mID 1;333;23.7.2023;sID 1
mID 2;88;20.8.2022;sID 2
mID 1;400;21.6.2021;sID 3
mID 1;500;9.8.2021;sID 1
mID 3;3;7.2.2023;sID 4
mID 8;50;19.3.2022;sID 1
mID 4;5;9.8.2022;sID 2
mID 5;902;1.5.2021;sID 3
mID 6;132;12.7.2022;sID 4
mID 7;88;29.3.2021;sID 4
mID 7;150;24.1.2022;sID 3
mID 3;56;3.2.2023;sID 2
mID 9;3;25.2.2022;sID 3
mID 10;77;16.10.2022;sID 1
mID 6;504;18.11.2021;sID 1
mID 4;129;5.6.2024;sID 2
mID 7;10;24.8.2022;sID 5
mID 10;156;3.6.2021;sID 5
mID 9;300;25.11.2024;sID 5
mID 10;18;16.12.2021;sID 5
mID 6;504;18.1.2021;sID 5
mID 4;129;5.9.2022;sID 5
